,contriblanguage,contribtype,thematicarea,title,author,abstract,keywords,subtitle,num_authors,npages
2149,Spanish,Presentación oral,SSE. Sistemas Solar y Extrasolares,Evoluci\'on de NEA cruzadores del Cintur\'on de Asteroides,"{'name_000': 'P.S.', 'surname_000': 'Zain', 'name_001': 'R.P.', 'surname_001': 'Di Sisto'}","Los NEA (Near-Earth Asteroids, en inglés), son una población de
asteroides cuyas órbitas tienen distancias al perihelio menores a 1.3
au, lo que los convierte en cuerpos capaces de acercarse a la órbita de
la Tierra. Estos asteroides se originaron en el Cinturón de Asteroides
(CA), situado entre Marte y Júpiter, y escaparon de esa región debido a
resonancias con los planetas gigantes. Dependiendo de su ruta de escape,
los NEA tienen vidas medias de $\sim10^{5}$ a $\sim10^{6}$ años antes de
alcanzar sus estados finales, entre los cuales los más comunes son
impactar contra el Sol, ser eyectados o colisionar con planetas
terrestres. Estos cuerpos son ampliamente estudiados debido a su
potencial de impacto con la Tierra. Recientemente, se desarrolló la
misión DART, que impactó la componente secundaria del sistema Didymos-
Dimorphos para experimentar la técnica del desvío orbital de un
asteroide. En particular, Didymos pasa aproximadamente un tercio de su
período orbital osculante dentro del CA, donde podría recibir impactos
de asteroides más pequeños que también son capaces de desviar su órbita.
Esto nos motiva a realizar un estudio dinámico y colisional de la
población de NEA cuyas órbitas incursionan en el CA, donde pueden
recibir colisiones con asteroides. Para ello, desarrollamos simulaciones
de $N$-cuerpos con el código $\texttt{MERCURY}$ de NEA mayores a 1 km
con distancia al afelio $Q>2$ au. Con esto, determinamos sus destinos
finales, calculamos sus tiempos de vida como NEA y la escala de tiempo
que se mantienen como cruzadores del CA. Con dicha información,
realizamos un estudio de la evolución colisional de los NEA,
considerando colisiones con asteroides del CA. En particular, buscamos
estimar la frecuencia de colisiones subcatastróficas sobre los NEA,
especialmente aquellos impactos con energías comparables a las de la
misión DART. Además, analizamos cómo la actividad colisional repercute
en la distribución de tamaños de los NEA y en la probabilidad de
colisión de estos cuerpos con la Tierra.","{'key_000': 'minor planets, asteroids: general', 'key_001': 'methods: numerical', 'key_002': 'methods: statistical'}",,4,1
2266,Spanish,Presentación oral,AE. Astrof\'isica Estelar,Evoluci\'on del par\'ametro de spin en sistemas binarios interactuantes con un agujero negro,"{'name_000': 'L.', 'surname_000': 'Bartolomeo Koninckx', 'name_001': 'M.A.', 'surname_001': 'De Vito', 'name_002': 'O.G.', 'surname_002': 'Benvenuto'}","Se denominan sistemas binarios interactuantes a aquellos sistemas de dos
cuerpos en los cuales existe una interacción adicional a la
gravitatoria: la transferencia de materia entre ellos. En estos objetos,
la evolución de las componentes es muy distinta en comparación con una
estrella aislada. De particular interés son los sistemas donde una
estrella transfiere material a un agujero negro. En estos casos, a
medida que el material es acretado por el objeto compacto, este aumenta
su velocidad de rotación, cuantificada a través del llamado parámetro de
\textit{spin}. En ciertas ocasiones, es posible determinar el
\textit{spin} de estos objetos compactos de forma observacional. Si bien
se espera que el agujero negro se forme con una rotación despreciable,
resulta notable que en muchos agujeros negros acompañados de estrellas
de baja masa el parámetro de \textit{spin} alcanza valores altos, lo
cual no es esperable dada la poca cantidad de masa disponible para
acretar. En esta ocasión, pondremos a prueba la evolución del parámetro
de \textit{spin} utilizando modelos teóricos de evolución en sistemas
binarios conformados por estrellas de masas bajas e intermedias en
compañía de un agujero negro.","{'key_000': 'stars: binaries: close', 'key_001': 'X-rays: binaries', 'key_002': 'stars: evolution'}",,6,1
2128,Spanish,Presentación oral,AEC. Astrof\'isica Extragal\'actica y Cosmolog\'ia,Exploraci\'on de estrategias para fotometr{\'\i}a multibanda del c\'umulo de galaxias de Antlia usando SourceXtractor++,"{'name_000': 'S.', 'surname_000': 'Zayas', 'name_001': 'J.P.', 'surname_001': ""Calder\\'on"", 'name_002': 'A.', 'surname_002': 'Smith Castelli', 'name_003': 'R.', 'surname_003': 'Haack'}","En este trabajo presentamos resultados preliminares asociados a una
Tesis de Licenciatura de la FCAG-UNLP que explora la aplicación de
SourceXtractor++ (SX++) en imágenes de la región central del cúmulo de
galaxias de Antlia, obtenidas por el Southern Photometric Local Universe
Survey (S-PLUS). Nuestro objetivo es explorar las bondades y debilidades
de SX++ por sobre las de SExtractor. Entre las bondades se encuentran la
posibilidad de introducir una lista de objetos con coordenadas celestes
(RA,DEC), en lugar de coordenadas (X,Y) referenciadas a la imagen sobre
la que se mide, para la obtención de la fotometría automática. Por otro
lado, SX++ también permite la ejecución en modo dual sobre imágenes de
detección y medición que no se encuentran previamente registradas, y
estima en forma automática parámetros estructurales como el índice de
Sérsic. Entre las debilidades parecen encontrarse los tiempos
computacionales de ejecución. Nuestro objetivo es comparar los valores
obtenidos por SX++ para las magnitudes y otros parámetros fotométricos
de las galaxias del cúmulo de Antlia, con los previamente publicados en
la literatura para las mismas galaxias. De este modo, podremos evaluar
la confiabilidad de la estimación automática de los brillos y parámetros
estructurales realizada por SX++, con el fin de extender estas
estimaciones a las galaxias de fondo y a otras regiones del cielo, fuera
de Antlia.","{'key_000': 'galaxies: clusters: Antlia', 'key_001': 'techniques: photometric', 'key_002': 'software: data analysis', 'key_003': 'surveys'}",,8,1
2140,Spanish,Presentación oral,AE. Astrof\'isica Estelar,Explorando el impacto de los gradientes qu{\'\i}micos en los procesos de mezcla del interior estelar,"{'name_000': 'M.M.', 'surname_000': 'Ocampo', 'name_001': 'M.M.', 'surname_001': 'Miller Bertolami', 'name_002': 'L.G.', 'surname_002': 'Althaus'}","Durante las diferentes etapas de evolución estelar se forman diversas
zonas convectivas que alteran la estratificación química de las
estrellas. Usualmente, en astrofísica se utiliza la denominada teoría de
la longitud de mezcla (MLT) para tratar el movimiento convectivo, cuyo
tratamiendo estándar desprecia el impacto de los gradientes de
composición química. Sin embargo, hacia el final de la quema del helio
en el núcleo y durante los pulsos térmicos en la Rama Asintótica de las
Gigantes (AGB por sus siglas en inglés), se producen procesos de
estratificación en los cuales ocurren inversiones del gradiente químico,
los cuales producirían inestablabilidades si se consideraran teorías de
mezcla más completas que tengan en cuenta dichos escenarios. Estas
inestabilidades alterarían el perfil químico resultante en las estrellas
enanas blancas y pre-enanas blancas respecto del predicho por MLT,
teniendo consecuencias observables en los modos de pulsación de dichos
objetos. En el presente trabajo exploraremos una extensión de MLT en la
cual consideraremos las inestabilidades químicas como generadoras de
inestabilidades convectivas y no convectivas. Esta teoría será aplicada
en modelos de evolución estelar, en conjunto con MLT estándar y con una
tercera teoría de longitud de mezcla doblemente difusiva, y compararemos
los resultados obtenidos, discutiendo los beneficios y dificultades de
cada una.","{'key_000': 'hydrodynamics', 'key_001': 'stars: AGB and post-AGB', 'key_002': 'stars:interiors'}",,6,1
2154,Spanish,Presentación oral,AE. Astrof\'isica Estelar,Explorando la formaci\'on de material circumestelar y precursores en supernovas ricas en hidr\'ogeno: An\'alisis de la SN 2020tlf,"{'name_000': 'T.A.', 'surname_000': 'Regna', 'name_001': 'M.C.', 'surname_001': 'Bersten', 'name_002': 'K.', 'surname_002': 'Ertini'}","Con el incremento de detecciones tempranas de supernovas se ha puesto
cada vez más en evidencia la necesidad de la existencia de un material
circumestelar cercano, posiblemente eyectado por la estrella progenitora
en sus estadíos finales. Además, los relevamientos modernos han
permitido observar excesos de flujo ---denominados precursores--- en
imágenes de archivo pre-explosión, cuyo origen físico es incierto. En
este trabajo exploramos la posibilidad de vincular la formación del
materiar circunestelar con la presencia de precursores a través de la
simulación de un evento eruptivo en los meses previos a la explosión.
Para ello, con nuestro código hidrodinámico exploramos diferentes
escenarios de erupción a distintas escalas temporales y energéticas, y
analizamos los cambios en el brillo y el perfil de densidad de un modelo
de estrella progenitora. Además, hemos estudiado el caso particular de
la supernova 2020tlf, la primera supernova normal de tipo II-Plateau con
un precursor confirmado. A este fin llevamos a cabo el modelado
hidrodinámico de su curva de luz, e intentamos acotar las propiedades
que debe tener un mecanismo eruptivo para reproducir el precursor
observado y las propiedades inferidas del material circunestelar.","{'key_000': 'supernovae: general', 'key_001': 'circumstellar matter'}",,6,1
2106,Spanish,Presentación oral,AE. Astrof\'isica Estelar,Explorando los posibles or{\'\i}genes de supernovas asociadas a \textit{gamma-ray bursts},"{'name_000': 'L.M.', 'surname_000': ""Rom\\'an Aguilar"", 'name_001': 'M.M.', 'surname_001': 'Saez', 'name_002': 'M.C.', 'surname_002': 'Bersten', 'name_003': 'K.', 'surname_003': 'Ertini'}","El origen de las supernovas vinculadas a explosiones de rayos gamma (GRB
SNs) es un problema abierto en astrofísica estelar. Estas supernovas se
clasifican como tipo Ic por la falta de H y He en sus espectros. En la
literatura, se han propuesto distintos escenarios para su formación,
siendo los más estudiados el modelo de colapsar y el modelo de magnetar.
En este trabajo, estudiamos una muestra de GRB SNs con buena cobertura
temporal, fotométrica y espectroscópica. Calculamos su curva de luz
bolométrica y derivamos sus parámetros físicos mediante modelado
hidrodinámico. Nuestros resultados revelan soluciones que involucran
progenitores y remanentes compactos masivos, asociados con la formación
de agujeros negros estelares, en concordancia con el modelo de colapsar.
Por otro lado, presentamos nuestro análisis de la SN 2023pel, la más
reciente GRB SN. Este objeto presentó varias peculiaridades: alta
luminosidad, rápida evolución y velocidades más bajas que el promedio de
las GRB SNs, lo que nos llevó a considerar un escenario de formación
distinto al del resto de nuestros objetos. En particular, encontramos
que los mejores modelos hidrodinámicos para la SN 2023pel se obtienen al
considerar un magnetar como principal fuente de energía para potenciar
su brillo. Finalmente, al comparar las propiedades de todos los objetos
estudiados, identificamos una región en el espacio de parámetros que
podría servir para diferenciar entre los distintos mecanismos
principales que potencian el brillo de las GRB SNs.","{'key_000': 'supernovae: general', 'key_001': 'gamma-ray burst: general', 'key_002': 'stars: magnetars'}",,8,1
2081,Spanish,Presentación oral,OCPAE. Objetos Compactos y Procesos de Altas Energ\'ias,Fast Radio Bursts: from the Universe to the lab,"{'name_000': 'F.L.', 'surname_000': 'Vieyro', 'name_001': 'A.', 'surname_001': 'Araudo', 'name_002': 'G.E.', 'surname_002': 'Romero', 'name_003': 'J.', 'surname_003': ""Ben\\'a$\\check{\\textrm{c}}$ek"", 'name_004': 'V.', 'surname_004': 'Tikhonchuk'}","Las Erupciones rápidas en radio, conocidas como {\sl Fast Radio Bursts}
(FRB), son eventos transitorios de corta duración (milisegundos),
durante los que se produce una emisión intensa y coherente en radio. El
origen es aún desconocido, pero hay evidencias de que algunos FRB están
asociados a magnetares. En este trabajo se discutirá un posible
escenario en donde la emisión coherente en radio se produce en la
magnetosfera de una estrella de neutrones. En esta fuente, un plasma en
expansión interacciona con un viento de pares electrón/positrón, y las
diferentes velocidades de los plasmas producen inestabilidades que crean
cavidades en el plasma con un campo electrostático. Bajo algunas
condiciones, los electrones del viento producen emisión coherente al
pasar por las cavidades que podría dar cuenta de la emisión observada en
los FRB. Este modelo se complementa con simulaciones de tipo Particle-
In-Cell, que permiten determinar el tamaño de las cavidades y el campo
electrostático. Los resultados obtenidos serán testeados en el
laboratorio, en donde se hará colisionar un laser de alta potencia con
un plasma blanco. Este experimento tendrá lugar en un ambiente
controlado, con parámetros reescalados que cumplan relaciones de
similaridad con las condiciones astrofísicas.","{'key_000': 'plasmas', 'key_001': 'stars: magnetars', 'key_002': 'radiation mechanisms: general'}",,10,1
2093,English,Presentación oral,OCPAE. Objetos Compactos y Procesos de Altas Energ\'ias,Galaxy cluster accretion shocks and the origin of ultra-high energy cosmic rays,"{'name_000': 'A.D.', 'surname_000': 'Supanitsky', 'name_001': 'S.E.', 'surname_001': 'Nuza'}","Despite the great effort made in recent decades from the observational
point of view, the origin of ultra-high energy cosmic rays remains
unknown. Even though the sources of these very energetic particles are
not identified yet, great progress has been made in understanding this
phenomenon. In particular, galaxy cluster shocks have been considered as
a possible acceleration site for cosmic ray protons and heavier nuclei.
The formation of external shocks surrounding galaxy clusters is a
natural consequence of the accretion of material from the cosmic web
onto the cluster potential wells. In this contribution, we explore the
possibility of cosmic ray acceleration in galaxy cluster accretion
shocks by modeling both the acceleration of cosmic ray nuclei together
with their propagation from the acceleration site until they reach the
earth. Cosmic ray accelerators are modeled from a sample of local galaxy
clusters compiled to comprise the most prominent bound structures in the
nearby Universe, besides the Virgo cluster. More distant systems are
also statistically considered based on the cluster halo mass function
and its dependency with mass and redshift. The cosmic ray flux and
composition profile measured by the Pierre Auger Observatory are fitted
in order to determine the parameters of the assumed injection spectrum
of the sources. Finally, the feasibility of the different scenarios
considered is discussed.","{'key_000': 'galaxy clusters: intracluster medium', 'key_001': 'cosmic ray: acceleration', 'key_002': 'methods: numerical'}",,4,1
2088,English,Presentación oral,SH. Sol y Heliosfera,Galaxy sizes and compactness during the epoch of reionization,"{'name_000': 'P.', 'surname_000': 'Cataldi', 'name_001': 'S.', 'surname_001': 'Pedrosa', 'name_002': 'L.', 'surname_002': 'Pellizza', 'name_003': 'D.', 'surname_003': 'Ceverino'}","This study investigates scale relations during early cosmic epochs with
a redshift $z > 6$ using the FirstLight cosmological simulation suite.
This suite comprises 300 high-resolution zoom-ins and accurately depicts
the reionization of the large-scale intergalactic medium while resolving
galaxy properties. We observe that the half-mass radius ($r_{hm}$) of
simulated galaxies shows a moderate increase with stellar mass at $M_{*}
< 10^8 M_{odot}$, followed by a rapid decrease at higher masses. This
reduction in galaxy size is predominantly observed in massive galaxies
$M_{star} > 10^9 M_{odot}$, which undergo a phase of rapid compaction
and gas depletion. This leads to a contraction of the gaseous component
into a compact star-forming phase, subsequently transitioning to central
quenching of star formation and forming a compact passive stellar disc.
Consequently, we identify positive correlations between galaxy sizes,
specific star-formation rates, and gas abundances, marking a transition
from diffuse, star-forming regions to compact, quenched structures with
extended discs.","{'key_000': 'Galaxies: formation', 'key_001': 'Galaxies: evolution', 'key_002': 'Galaxies: high-redshift'}",,8,1
2121,Spanish,Presentación oral,ICSA. Instrumentaci\'on y Caracterizaci\'on de Sitios Astron\'omicos,Gemini Argentina: novedades y actualizaci\'on 2023,"{'name_000': 'L.H.', 'surname_000': ""Garc{\\'\\i}a"", 'name_001': 'G.A.', 'surname_001': 'Ferrero', 'name_002': 'C.', 'surname_002': 'Escudero', 'name_003': '', 'surname_003': '', 'name_004': 'L.', 'surname_004': 'Sesto'}","Gemini es un observatorio internacional que opera dos telescopios de 8
metros de diámetro y es actualmente el único observatorio
óptico/infrarrojo de clase mundial al cual los investigadores de
instituciones de Argentina tienen acceso directo. Ambos, se encuentran
equipados con instrumentación de última generación que permite obtener
datos de alta calidad. La incorporación de Argentina como miembro del
Observatorio, hace ya 30 años, trajo consigo una nueva manera de diseñar
y planificar observaciones astronómicas por parte de nuestra comunidad.
A esto, hay que sumar técnicas observacionales como la espectroscopía
con unidades de campo integral (IFU) y multiobjeto (MOS), que se
difundieron con la participación en Gemini y que, luego de un período de
aprendizaje, la comunidad ha logrado incorporar definitivamente. Debido
a esto, Gemini se ha convertido en una herramienta central para todos
los usuarios que cuentan con sus datos de alta calidad. En esta
presentación se hará un repaso de la evolución histórica de diversas
métricas (actualizadas a 2023) que reflejan lo expresado y demuestran el
impacto de Gemini. También se presentarán las facilidades futuras que
estarán disponibles y se discutirán algunos de los desafíos y
perspectivas a futuro.","{'key_000': 'telescopes', 'key_001': 'publications, bibliography'}",,10,1
2130,Spanish,Presentación oral,SSE. Sistemas Solar y Extrasolares,"Hot Jupiter - Cold Jupiter, sistemas planetarios con un pasado turbulento","{'name_000': 'A.', 'surname_000': 'Errico'}","La arquitectura del Sistema Solar es diferente del resto de los sistemas
planetarios. ¿Es nuestro sistema inusual o es el resultado de un sesgo
observacional? Para responder esta pregunta, una l\'inea de
investigaci\'on se enfoca en la b\'usqueda de an\'alogos de J\'upiter.
Detectar estos planetas contribuye a entender qu\'e tan \'unico es el
Sistema Solar y arroja luz sobre la formaci\'on de sistemas que
contienen un tipo particular de gigante gaseoso: cold Jupiters.
Presentamos el descubrimiento de un cold Jupiter en un sistema que ya
cuenta con un hot Jupiter. Luego investigamos c\'omo los cambios en la
estrategia observacional pueden influir en la facilidad con que esos
planetas se pueden detectar. Variando la cadencia y precisión en la
medici\'on, estimamos los datos adicionales necesarios para detectar
hipot\'eticos cold Jupiters en nuestros sistemas objetivo. Los sistemas
con ambos, hot y cold Jupiters son intrigantes. Una teor\'ia de
migraci\'on planetaria intenta expicar el origen de estos sistemas
bas\'andose en la interacci\'on de 3 planetas, de forma que uno de ellos
migra acerc\'andose a la estrella (hot Jupiter), otro termina en una
\'orbita alejada y muy exc\'entrica (cold Jupiter) y el tercero termina
siendo ejectado del sistema. Para poner a prueba esta hip\'otesis, es
cr\'itica la b\'usqueda de planetas adicionales en esos sistemas
planetarios. Nuestro trabajo intenta determinar la mejor estrategia de
observación para llevar a cabo esa b\'usqueda en los pr\'oximos años.","{'key_000': 'planets and satellites: detection', 'key_001': 'planets and satellites: dynamical evolution and stability'}",,2,1
2300,Spanish,Presentación oral,AEC. Astrof\'isica Extragal\'actica y Cosmolog\'ia,\'Indices de Lick: descifrando la historia de los C\'umulos de Virgo y Coma,"{'name_000': 'M.C.', 'surname_000': 'Scalia', 'name_001': 'A.V.', 'surname_001': 'Smith Castelli', 'name_002': 'F.R.', 'surname_002': 'Faifer'}","En este estudio se analiza comparativamente el comportamiento de 25
índices Lick en los cúmulos de Virgo y Coma. Estos índices son
ampliamente utilizados para estimar edades, metalicidades y abundancias
elementos químicos, cuando se comparan con modelos de poblaciones
estelares simples. Éstos además se asocian a rasgos espectrales en los
que predomina una determinada especie química. En trabajos anteriores,
hemos encontrado que, tanto en el cúmulo de Virgo como en el de Coma,
parece existir cierto grado de dependencia del color (g-z) respecto a
algunos de los índices mencionados. El presente estudio busca determinar
si las dependencias de color observadas en algunos índices Lick de los
cúmulos de Virgo y Coma se deben a efectos ambientales. Para ello
analizamos el comportamiento de estos índices a lo largo de la relación
color-magnitud (CMR) y de los diagramas de fase proyectado (PPS) de
ambos cúmulos.","{'key_000': 'galaxies: elliptical and lenticular, cD', 'key_001': 'galaxies: dwarf', 'key_002': 'galaxies: clusters: general', 'key_003': 'galaxies: clusters: individual (Virgo)', 'key_004': 'galaxies: abundances'}",,6,1
2171,Spanish,Presentación oral,OCPAE. Objetos Compactos y Procesos de Altas Energ\'ias,Irregularidades rotacionales en p\'ulsares observados desde el IAR,"{'name_000': 'E.', 'surname_000': 'Zubieta', 'name_001': 'F.', 'surname_001': ""Garc\\'{i}a"", 'name_002': 'S.', 'surname_002': 'del Palacio', 'name_003': 'S.B.', 'surname_003': 'Araujo Furlan', 'name_004': 'G.', 'surname_004': 'Gancio', 'name_005': 'C.O.', 'surname_005': 'Lousto', 'name_006': 'J.A.', 'surname_006': 'Combi', 'name_007': 'C.M.', 'surname_007': 'Espinoza'}","Los púlsares tienen momentos de inercia muy altos, por lo cual presentan
una rotación extremadamente estable. Sin embargo, esta estabilidad puede
verse interrumpida por \textit{glitches} o \textit{timing noise}. Los
\textit{glitches} consisten en un aumento repentino en la frecuencia de
rotación del pulsar, y probablemente son causados por el desacoplamiento
entre el interior superfluido de la estrella y la corteza sólida. Por
otro lado, el \textit{timing noise} se manifiesta como un comportamiento
suave y errante alrededor de una evolución rotacional simple, y su
explicación sigue siendo un enigma. Aunque la distinción entre el
\textit{timing noise} y los \textit{glitches} es evidente en términos de
la discreción del evento, los \textit{glitches} más pequeños a menudo
pueden confundirse con \textit{timing noise} y viceversa. Además, los
\textit{glitches} pequeños también pueden confundirse con otras
irregularidades rotacionales probablemente relacionadas a los cambios
magnetosféricos del púlsar. Para poder distinguir entre los distintos
tipos de fenómenos, es necesario tener un muestro de alta cadencia. Por
lo tanto, en este trabajo desarrollamos un algoritmo para buscar
pequeños eventos discretos en los púlsares observados desde el IAR para
clasificarlos como \textit{glitches} pequeños o simples irregularidades.","{'key_000': 'pulsars: general', 'key_001': 'methods: observational  ---                radio continuum: general'}",,16,1
2289,Spanish,Presentación oral,AEC. Astrof\'isica Extragal\'actica y Cosmolog\'ia,"La fusi\'on, la actividad nuclear, y el medio interestelar en la radiofuente 3C~305","{'name_000': 'V.', 'surname_000': 'Reynaldi', 'name_001': 'P.', 'surname_001': 'Ogle', 'name_002': 'F.R.', 'surname_002': 'Faifer', 'name_003': 'B.', 'surname_003': 'Sebastian', 'name_004': 'I.E.', 'surname_004': ""L\\'opez""}","La galaxia 3C~305 presenta un escenario único para estudiar la
interacción entre su radio-{\it jet} y el material interestelar (MIE).
Resultado de un proceso de fusión rico en gas, es una de las
radiofuentes más potentes del Universo local. El {\it jet} y el MIE
interactúan de forma extrema tanto cinemática como radiativamente e
involucran a todas las fases del MIE. La emisión de gas caliente en
rayos-X (Chandra), superpuesta con el gas ionizado en el óptico (HST),
dio indicios de metalicidad subsolar que también fue necesaria para
explicar el estado de ionización por procesos de choque (Gemini). Los
{\it outflows} de HI (21~cm, VLA) en absorción, superpuestos sobre los
lóbulos de radio (MERLIN, VLA), muestran la misma cinemática que los
{\it outflows} ionizados (WHT) en esa zona. Por su parte, la fase
molecular presenta emisión de H$_2$ (Spitzer) extraordinariamente alta,
incompatible con la excitación por fotones UV-rayos-X. Con esto se
demostró que el paso del radio-{\it jet}, no sólo produce los {\it
outflows} observados en H{\sc i} y H{\sc ii}, sino que también genera
los procesos de choque que desencadenan la emisión de H$_2$ en en gas
molecular. En este trabajo presentamos los primeros resultados de los
mapas de emisión óptico-IR cercano/medio, obtenidos con JWST y Gemini,
que confirman: 1) 30 años de estudios espectroscópicos sobre el
acoplamiento de todas las fases del MIE, y 2) que la fusión pudo haber
inducido un brote de formación estelar en la zona central de la galaxia.","{'key_000': 'galaxies: active', 'key_001': 'galaxies: evolution', 'key_002': 'galaxies: individual (3C~305)', 'key_003': 'galaxies: ISM'}",,10,1
2222,Spanish,Presentación oral,SSE. Sistemas Solar y Extrasolares,Los asteroides Centauros a trav\'es del JWST,"{'name_000': 'M.D.', 'surname_000': 'Melita', 'name_001': 'J.', 'surname_001': 'Licandro', 'name_002': 'N.', 'surname_002': 'Pinilla-Alonso'}","Se resumirán las principales características de los asteroides Centauros
y las hipótesis propuestas hasta el presente para explicar su peculiar
distribución de propiedades superficiales. Describiremos los primeros
espectros de asteroides Centauros obtenidos por el \textit{James Webb
Space Telescope}. Estas observaciones revelan la existencia de hielos de
agua y dióxido de carbono, silicatos y orgánicos complejos y también
permiten corroborar la existencia de dos grupos de objetos. Resumiremos
los experimentos numéricos realizados para intentar relacionar su
historia orbital reciente con las características espectrales de los
objetos observados, que no arrojan una correlación evidente. Por lo
tanto, es muy posible que estos grupos se relacionen con el sitio
primordial de origen de estos cuerpos.","{'key_000': 'Cuerpos Menores del Sistema Solar Exterior', 'key_001': 'Dinamica y Centauros y Objetos Trans-Neptunianos'}",,6,1
2103,Spanish,Presentación oral,SH. Sol y Heliosfera,Modelado hidrodin\'amico de arcos coronales,"{'name_000': 'M.', 'surname_000': ""L\\'opez Fuentes"", 'name_001': 'J.A.', 'surname_001': 'Klimchuk'}","Tal como se observa en imágenes en el Extremo Ultravioleta (EUV) y en
rayos X, debido a la baja resistividad magnética y al bajo $\beta$ del
plasma, la corona solar se encuentra fuertemente dominada por el campo
magnético y estructurada en forma de arcos. Esto es especialmente
evidente en el caso de las regiones activas. Si bien observacionalmente
los arcos coronales aparentan tener espesor constante a lo largo de su
longitud, las variaciones del campo con la altura y su relación con el
plasma circundante hacen esperable variaciones de la sección transversal
de los mismos. En este trabajo estudiamos la evolución del plasma en
arcos coronales con diferentes esquemas de variación de su sección
transveral. El objetivo es analizar cómo estas variaciones afectan
ciertas características observables de los arcos. Para ello utilizamos
un código hidrodinámico unidimensional que modela la evolución de la
temperatura, densidad y velocidad del plasma en los arcos aplicando
diferentes regímenes de calentamiento. Estos parámetros son luego
utilizados para obtener versiones sintéticas de líneas espectrales del
EUV conocidas. Los diferentes regímenes de calentamiento, combinados con
distintos esquemas de variación de la sección transversal, producen
evoluciones que resultan en corrimientos Doppler y ensanchamientos no-
térmicos característicos susceptibles de ser comparados posteriormente
con observaciones espectrales reales.","{'key_000': 'Sun: activity', 'key_001': 'Sun: corona', 'key_002': 'Sun: magnetic fields', 'key_003': 'Sun: transition region'}",,4,1
2280,Spanish,Presentación oral,MI. Medio Interestelar,Nuevas evidencias de H$_2$ en estructuras de baja ionizaci\'on de nebulosas planetarias,"{'name_000': 'M.B.', 'surname_000': 'Mari', 'name_001': 'S.', 'surname_001': 'Akras', 'name_002': 'D.R.', 'surname_002': 'Gon\\c{c}alves'}","Las nebulosas planetarias (NPs) son envolturas de gas ionizado que las
estrellas de baja y media masa expulsan en las últimas etapas de su
vida. Se caracterizan principalmente por sus componentes a gran escala
como cascarones y anillos, identificados fundamentalmente por la intensa
emisión de las líneas prohibidas de [{\sc O~iii}] y las líneas de
recombinación de H. Además, existen componentes menores en las NPs que
emiten principalmente en especies de baja ionización como [{\sc N~ii}],
[{\sc S~ii}], [{\sc O~ii}] u [{\sc O~i}]. La existencia de estas
estructuras de baja ionización (LISs) sigue siendo un tema de debate.
Varios estudios con datos espectroscópicos e imágenes han llegado a
conclusiones similares para muchas NPs individuales. Luego de un
análisis estadístico, comparando las propiedades fisicoquímicas de estas
LISs con su medio circundante, se verificó de manera más robusta que las
LISs presentan una densidad electrónica menor que sus nebulosas
hospederas. Este resultado contradice las predicciones teóricas de los
modelos, que sugieren densidades del orden de $\sim 10^{6-8}~cm^{-3}$.
Para resolver esta discrepancia entre las predicciones de modelos y las
observaciones de las densidades de LISs, realizamos una búsqueda de
hidrógeno molecular (H$_2$) asociado a estas estructuras, usando
imágenes en el infrarrojo cercano de 5 NPs con LISs. Dado que la
predicción de los modelos considera no sólo la densidad electrónica sino
la total, es decir, molecular y neutra también, el hallazgo de H$_2$
asociado a estas estructuras podría reconciliar las predicciones con las
observaciones.","{'key_000': 'ISM: jets and outflows', 'key_001': 'planetary nebulae: general', 'key_002': 'ISM: molecules'}",,6,1
2239,Spanish,Presentación oral,SH. Sol y Heliosfera,Nuevos diagn\'osticos 3D de la corona solar interna mediante tomograf{\'\i}a con m\'ultiples instrumentos,"{'name_000': 'F.A.', 'surname_000': 'Nuevo', 'name_001': 'A.M.', 'surname_001': ""V\\'asquez"", 'name_002': 'E.', 'surname_002': 'Landi', 'name_003': 'R.A.', 'surname_003': 'Frazin'}","La determinación de la estructura termodinámica tridimensional (3D) de
la corona solar por medios observacionales es de gran importancia para
avanzar en la comprensión de los mecanismos responsables del
calentamiento coronal y el desarrollo de modelos magnetohidrodinámicos
globales. Orientada a este fin, la técnica de tomografía solar
rotacional (SRT, por sus siglas en inglés) utiliza series temporales de
imágenes de la corona solar en luz blanca (LB) y en extremo ultravioleta
(EUV) para determinar la distribución 3D de la densidad y temperatura
electrónicas de la corona solar. Recientemente, se encuentra operativo
el instrumento Upgraded Coronal Multi-channel Polarimeter (UCoMP) del
Mauna Loa Solar Observatory (MLSO) que provee imágenes coronales de
líneas de emisión en el espectro visible. En este trabajo implementamos
por primera vez SRT aplicada a líneas de Hierro medidas por UCoMP, para
obtener la distribución 3D de la emisividad de las mismas. El cociente
de estas emisivides proporciona de forma novedosa un diagnóstico de la
distribición 3D de la densidad electrónica coronal. Aplicamos la técnica
a varias rotaciones coronales, para las cuales reconstruímos la densidad
coronal de forma simultánea e independiente mediante SRT aplicada a
imágenes en LB y en EUV. Comparamos los resultados de los tres
diagnósticos y discutimos la posibilidad de su utilización conjunta para
determinar de forma consistente la distribución 3D de la densidad,
temperatura y la abundancia coronal del Hierro.","{'key_000': 'Sun: corona', 'key_001': 'Sun: models', 'key_002': 'Solar Cycle'}",,8,1
